Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1400;19724;"Helicobacter";journal;"10834389, 15235378";1,035;Q1;90;88;242;4829;1108;229;4,18;54,88;47,25;1;28;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1996-2023";"Gastroenterology (Q1); Infectious Diseases (Q1); Medicine (miscellaneous) (Q1)";"Medicine"
1401;16221;"Irish Journal of Psychological Medicine";journal;"07909667";1,035;Q2;33;111;194;3244;633;167;1,79;29,23;51,24;3;26;United Kingdom;Western Europe;"Cambridge University Press";"1968, 1989-2023";"History and Philosophy of Science (Q1); Applied Psychology (Q2); Psychiatry and Mental Health (Q2)";"Arts and Humanities; Medicine; Psychology"
1402;16182;"Seminars in Perinatology";journal;"1558075X, 01460005";1,035;Q1;111;79;247;5764;789;230;2,93;72,96;57,89;0;38;United States;Northern America;"W.B. Saunders";"1977-2023";"Obstetrics and Gynecology (Q1); Pediatrics, Perinatology and Child Health (Q1)";"Medicine"
1403;21100199817;"Therapeutic Advances in Drug Safety";journal;"20420986, 20420994";1,035;Q1;46;27;103;1296;396;91;3,07;48,00;47,88;0;11;United Kingdom;Western Europe;"SAGE Publications Ltd";"2010-2023";"Pharmacology (medical) (Q1)";"Medicine"
1404;21100784787;"Translational Gastroenterology and Hepatology";journal;"2224476X, 22244778";1,035;Q1;29;36;171;1882;620;150;3,07;52,28;30,46;0;20;China;Asiatic Region;"AME Publishing Company";"2016-2023";"Gastroenterology (Q1); Hepatology (Q2)";"Medicine"
1405;29627;"Current Opinion in Critical Care";journal;"15317072, 10705295";1,034;Q1;101;103;296;5466;946;273;3,40;53,07;38,36;0;18;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1996-2023";"Critical Care and Intensive Care Medicine (Q1)";"Medicine"
1406;11000153737;"Head and Neck";journal;"10970347, 10433074";1,034;Q1;147;322;1163;10878;3289;1078;2,47;33,78;34,38;1;254;United States;Northern America;"John Wiley &amp; Sons Inc.";"1989-2023";"Otorhinolaryngology (Q1)";"Medicine"
1407;15481;"Journal of Experimental Psychology: Human Perception and Performance";journal;"00961523, 19391277";1,034;Q1;163;83;316;4533;766;316;2,25;54,61;39,78;0;1;United States;Northern America;"American Psychological Association";"1975-2023";"Arts and Humanities (miscellaneous) (Q1); Behavioral Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Medicine (miscellaneous) (Q1)";"Arts and Humanities; Medicine; Neuroscience; Psychology"
1408;12061;"Memory and Cognition";journal;"0090502X, 15325946";1,034;Q1;142;151;325;9035;926;324;2,75;59,83;47,93;0;7;United States;Northern America;"Springer New York";"1973-2023";"Arts and Humanities (miscellaneous) (Q1); Experimental and Cognitive Psychology (Q1); Medicine (miscellaneous) (Q1); Neuropsychology and Physiological Psychology (Q1)";"Arts and Humanities; Medicine; Psychology"
1409;12111;"Behavioral Medicine";journal;"19404026, 08964289";1,033;Q2;58;62;108;3009;348;104;2,73;48,53;59,37;1;41;United States;Northern America;"Routledge";"1988-2023";"Applied Psychology (Q2); Psychiatry and Mental Health (Q2)";"Medicine; Psychology"
1410;5800179603;"Radiation Oncology";journal;"1748717X";1,033;Q1;91;197;716;7115;2599;710;3,29;36,12;39,92;0;155;United Kingdom;Western Europe;"BioMed Central Ltd";"2005-2023";"Radiology, Nuclear Medicine and Imaging (Q1); Oncology (Q2)";"Medicine"
1411;20186;"Transfusion";journal;"00411132, 15372995";1,033;Q1;150;529;1420;8950;3008;1165;2,05;16,92;47,49;0;93;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1958-2023";"Hematology (Q1); Immunology (Q2); Immunology and Allergy (Q2)";"Immunology and Microbiology; Medicine"
1412;20474;"Prostate";journal;"10970045, 02704137";1,032;Q1;135;170;455;5803;1322;442;2,80;34,14;28,54;3;155;United States;Northern America;"Wiley-Liss Inc.";"1980-2023";"Urology (Q1); Oncology (Q2)";"Medicine"
1413;13120;"Seminars in Oncology";journal;"00937754, 15328708";1,032;Q1;145;22;145;1054;488;138;2,71;47,91;45,52;0;17;United States;Northern America;"W.B. Saunders";"1974-2023";"Hematology (Q1); Oncology (Q2)";"Medicine"
1414;36513;"BMC Infectious Diseases";journal;"14712334";1,031;Q1;129;880;3144;31638;11078;3140;3,51;35,95;45,52;11;658;United Kingdom;Western Europe;"BioMed Central Ltd";"2001-2023";"Infectious Diseases (Q1)";"Medicine"
1415;21100870666;"Immunological Medicine";journal;"25785826";1,031;Q2;22;26;81;1071;303;81;3,28;41,19;23,66;0;4;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2018-2023";"Immunology (Q2); Immunology and Allergy (Q2)";"Immunology and Microbiology; Medicine"
1416;21658;"Journal of Cranio-Maxillo-Facial Surgery";journal;"18784119, 10105182";1,031;Q1;91;99;422;3353;1087;422;2,19;33,87;30,96;0;5;United States;Northern America;"Churchill Livingstone";"1987-2023";"Oral Surgery (Q1); Otorhinolaryngology (Q1); Surgery (Q1)";"Dentistry; Medicine"
1417;17484;"Neurochemical Research";journal;"03643190, 15736903";1,031;Q1;132;269;822;18960;3450;812;3,97;70,48;45,66;1;66;United States;Northern America;"Springer New York";"1976-2023";"Biochemistry (Q1); Medicine (miscellaneous) (Q1); Cellular and Molecular Neuroscience (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
1418;19700201154;"Therapeutic Advances in Chronic Disease";journal;"20406231, 20406223";1,031;Q1;49;83;320;4483;1155;312;3,36;54,01;45,31;0;39;United States;Northern America;"SAGE Publications Inc.";"2010-2023";"Medicine (miscellaneous) (Q1)";"Medicine"
1419;19700166521;"Scandinavian Journal of Trauma, Resuscitation and Emergency Medicine";journal;"17577241";1,030;Q1;69;105;387;3423;1256;367;2,84;32,60;28,93;1;24;United Kingdom;Western Europe;"BioMed Central Ltd";"2008-2023";"Critical Care and Intensive Care Medicine (Q1); Emergency Medicine (Q1)";"Medicine"
1420;28098;"BMC Health Services Research";journal;"14726963";1,029;Q1;146;1441;4009;65818;12397;3995;2,76;45,68;56,55;23;803;United Kingdom;Western Europe;"BioMed Central Ltd";"2001-2023";"Health Policy (Q1)";"Medicine"
1421;4200151510;"Future Oncology";journal;"17448301, 14796694";1,029;Q1;90;244;1139;8090;3137;1076;2,78;33,16;39,46;2;218;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2005-2023";"Medicine (miscellaneous) (Q1); Cancer Research (Q2); Oncology (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1422;16188;"Journal of the International Neuropsychological Society";journal;"13556177, 14697661";1,028;Q1;146;113;282;5973;891;280;3,00;52,86;54,14;0;19;United Kingdom;Western Europe;"Cambridge University Press";"1995-2023";"Clinical Psychology (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q2); Psychiatry and Mental Health (Q2)";"Medicine; Neuroscience; Psychology"
1423;21100433120;"Microbiology spectrum";journal;"21650497";1,028;Q1;87;2095;2474;108843;9367;2440;3,78;51,95;45,13;8;980;United States;Northern America;"American Society for Microbiology";"2013-2023";"Ecology (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Physiology (Q1); Cell Biology (Q2); Genetics (Q2); Microbiology (medical) (Q2)";"Biochemistry, Genetics and Molecular Biology; Environmental Science; Immunology and Microbiology; Medicine"
1424;28471;"Ageing and Society";journal;"0144686X, 14691779";1,026;Q1;97;165;406;10138;1380;406;3,14;61,44;67,53;0;63;United Kingdom;Western Europe;"Cambridge University Press";"1981-2023";"Arts and Humanities (miscellaneous) (Q1); Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1); Social Psychology (Q1); Geriatrics and Gerontology (Q2)";"Arts and Humanities; Medicine; Psychology; Social Sciences"
1425;21101087137;"Animal Models and Experimental Medicine";journal;"25762095, 20965451";1,026;Q1;25;82;149;4315;615;137;3,91;52,62;42,95;0;27;United States;Northern America;"John Wiley and Sons Inc.";"2018-2023";"Medical Laboratory Technology (Q1); Medicine (miscellaneous) (Q1); Veterinary (miscellaneous) (Q1); Biochemistry (Q2); Molecular Biology (Q2)";"Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine; Veterinary"
1426;28332;"Gastroenterology Clinics of North America";journal;"08898553, 15581942";1,026;Q1;96;61;193;3507;679;158;2,52;57,49;51,38;0;39;United States;Northern America;"W.B. Saunders";"1987-2023";"Gastroenterology (Q1)";"Medicine"
1427;19760;"International Journal of Food Microbiology";journal;"18793460, 01681605";1,026;Q1;219;262;853;14906;5086;852;5,70;56,89;48,76;13;63;Netherlands;Western Europe;"Elsevier B.V.";"1984-2024";"Food Science (Q1); Medicine (miscellaneous) (Q1); Safety, Risk, Reliability and Quality (Q1); Microbiology (Q2)";"Agricultural and Biological Sciences; Engineering; Immunology and Microbiology; Medicine"
1428;4400151701;"Journal of Exposure Science and Environmental Epidemiology";journal;"1559064X, 15590631";1,026;Q1;106;159;300;8374;1331;283;4,55;52,67;51,98;13;113;United Kingdom;Western Europe;"Nature Publishing Group";"1999-2000, 2002, 2006-2023";"Pollution (Q1); Public Health, Environmental and Occupational Health (Q1); Toxicology (Q1); Epidemiology (Q2)";"Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
1429;16761;"Journal of Neuropathology and Experimental Neurology";journal;"15546578, 00223069";1,026;Q1;178;100;391;3594;881;302;2,12;35,94;47,76;0;22;United Kingdom;Western Europe;"Oxford University Press";"1942-2023";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1); Cellular and Molecular Neuroscience (Q2); Neurology (Q2)";"Medicine; Neuroscience"
1430;27623;"Journal of Perinatology";journal;"14765543, 07438346";1,026;Q1;113;304;960;9682;2678;842;2,45;31,85;63,59;0;81;United Kingdom;Western Europe;"Nature Publishing Group";"1987-2023";"Obstetrics and Gynecology (Q1); Pediatrics, Perinatology and Child Health (Q1)";"Medicine"
1431;21101039769;"Precision Clinical Medicine";journal;"25161571, 20965303";1,026;Q1;21;31;98;1579;402;85;4,07;50,94;47,49;0;13;United Kingdom;Western Europe;"Oxford University Press";"2018-2023";"Medicine (miscellaneous) (Q1)";"Medicine"
1432;18134;"American Journal of Chinese Medicine";journal;"0192415X, 17936853";1,025;Q1;79;97;290;6114;1642;290;4,96;63,03;43,02;0;55;Singapore;Asiatic Region;"World Scientific";"1974-1977, 1979-2023";"Complementary and Alternative Medicine (Q1); Medicine (miscellaneous) (Q1)";"Medicine"
1433;145172;"Behavioral Sleep Medicine";journal;"15402010, 15402002";1,025;Q1;64;72;183;3607;659;182;3,10;50,10;63,05;0;12;United States;Northern America;"Routledge";"2003-2023";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Psychology (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q2)";"Medicine; Neuroscience; Psychology"
1434;29237;"Clinical Social Work Journal";journal;"15733343, 00911674";1,025;Q1;46;57;135;3288;509;126;3,96;57,68;67,79;0;24;United States;Northern America;"Kluwer Academic/Human Sciences Press Inc.";"1973-2023";"Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1); Social Work (Q1)";"Medicine; Social Sciences"
1435;22193;"Genetics Selection Evolution";journal;"0999193X, 12979686";1,025;Q1;87;93;242;4941;958;241;3,53;53,13;38,64;0;17;United Kingdom;Western Europe;"BioMed Central Ltd";"1989-2023";"Animal Science and Zoology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Medicine (miscellaneous) (Q1); Genetics (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine"
1436;21100215166;"Journal of Obesity";journal;"20900716, 20900708";1,025;Q2;66;16;78;725;348;78;4,12;45,31;46,74;0;15;Egypt;Africa/Middle East;"Hindawi Limited";"2010-2023";"Endocrinology, Diabetes and Metabolism (Q2)";"Medicine"
1437;19900194500;"Practical Radiation Oncology";journal;"18798500, 18798519";1,025;Q1;51;160;436;3598;1120;378;2,54;22,49;38,98;2;94;United States;Northern America;"Elsevier Inc.";"2011-2023";"Radiology, Nuclear Medicine and Imaging (Q1); Oncology (Q2)";"Medicine"
1438;4700152268;"CONTINUUM Lifelong Learning in Neurology";journal;"10802371, 15386899";1,024;Q1;57;85;271;5558;805;242;2,78;65,39;54,17;0;32;United States;Northern America;"Lippincott Williams and Wilkins";"2006-2023";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Genetics (clinical) (Q2)";"Medicine"
1439;21100329539;"Journal of Eating Disorders";journal;"20502974";1,024;Q2;47;225;428;13243;1729;410;3,52;58,86;68,92;1;64;United Kingdom;Western Europe;"BioMed Central Ltd";"2013-2023";"Nutrition and Dietetics (Q1); Behavioral Neuroscience (Q2); Psychiatry and Mental Health (Q2)";"Medicine; Neuroscience; Nursing"
1440;21100372101;"Nanotechnology Reviews";journal;"21919097, 21919089";1,024;Q1;60;148;434;15292;3254;434;6,85;103,32;33,92;0;50;Germany;Western Europe;"Walter de Gruyter GmbH";"2012-2023";"Biotechnology (Q1); Energy Engineering and Power Technology (Q1); Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Process Chemistry and Technology (Q1); Surfaces, Coatings and Films (Q1); Biomaterials (Q2)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Energy; Engineering; Materials Science; Medicine"
1441;29930;"Journal of Cancer Research and Clinical Oncology";journal;"01715216, 14321335";1,023;Q1;109;1481;946;64519;3353;901;3,31;43,56;42,09;6;1358;Germany;Western Europe;"Springer Verlag";"1979-2023";"Medicine (miscellaneous) (Q1); Cancer Research (Q2); Oncology (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1442;21100448513;"Journal of Healthcare Leadership";journal;"11793201";1,023;Q1;20;33;61;1983;243;59;3,87;60,09;51,80;0;14;United States;Northern America;"Dove Medical Press Limited";"2014-2023";"Leadership and Management (Q1); Public Health, Environmental and Occupational Health (Q1); Organizational Behavior and Human Resource Management (Q2)";"Business, Management and Accounting; Medicine; Nursing"
1443;13703;"Biology of Reproduction";journal;"00063363, 15297268";1,022;Q1;203;149;731;4285;2293;693;3,05;28,76;52,79;0;33;United States;Northern America;"Society for the Study of Reproduction";"1969-2023";"Medicine (miscellaneous) (Q1); Reproductive Medicine (Q1); Cell Biology (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1444;21100853551;"Diagnosis";journal;"21948011, 2194802X";1,022;Q1;31;71;217;1998;554;178;2,36;28,14;40,78;0;21;Germany;Western Europe;"Walter de Gruyter GmbH";"2014-2023";"Biochemistry (medical) (Q1); Clinical Biochemistry (Q1); Health Policy (Q1); Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1445;21100212900;"Global Heart";journal;"22118179, 22118160";1,022;Q1;50;65;255;2643;832;251;2,64;40,66;45,10;0;47;United Kingdom;Western Europe;"Elsevier Science &amp; Technology";"2011-2023";"Cardiology and Cardiovascular Medicine (Q1); Community and Home Care (Q1); Epidemiology (Q2)";"Medicine; Nursing"
1446;15300154824;"Nutrition and Metabolism";journal;"17437075";1,022;Q1;102;51;289;3047;1197;289;3,72;59,75;51,03;0;28;United Kingdom;Western Europe;"BioMed Central Ltd";"2004-2023";"Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1); Endocrinology, Diabetes and Metabolism (Q2)";"Medicine; Nursing"
1447;21101071785;"BMC Primary Care";journal;"27314553";1,021;Q1;89;279;863;12343;2557;863;2,62;44,24;58,61;1;138;United Kingdom;Western Europe;"BioMed Central Ltd";"2022-2023";"Family Practice (Q1); Medicine (miscellaneous) (Q1)";"Medicine"
1448;19700166804;"Ticks and Tick-borne Diseases";journal;"18779603, 1877959X";1,021;Q1;62;140;616;7935;2035;603;3,23;56,68;43,83;2;29;Germany;Western Europe;"Elsevier GmbH";"2010-2024";"Infectious Diseases (Q1); Insect Science (Q1); Parasitology (Q1); Microbiology (Q2)";"Agricultural and Biological Sciences; Immunology and Microbiology; Medicine"
1449;20028;"American Journal of Neuroradiology";journal;"01956108";1,020;Q1;198;262;1181;6881;3544;1026;2,76;26,26;31,40;0;46;United States;Northern America;"American Society of Neuroradiology";"1980-2023";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Radiology, Nuclear Medicine and Imaging (Q1)";"Medicine"
1450;19700;"European Journal of Clinical Microbiology and Infectious Diseases";journal;"09349723, 14354373";1,020;Q1;122;171;810;5576;3084;783;3,41;32,61;52,12;1;66;Germany;Western Europe;"Springer Verlag";"1988-2023";"Infectious Diseases (Q1); Medicine (miscellaneous) (Q1); Microbiology (medical) (Q2)";"Medicine"
1451;13866;"Experimental Eye Research";journal;"00144835, 10960007";1,020;Q1;146;288;1093;15490;3983;1073;3,29;53,78;45,85;1;27;United States;Northern America;"Academic Press";"1961-2023";"Ophthalmology (Q1); Sensory Systems (Q1); Cellular and Molecular Neuroscience (Q2)";"Medicine; Neuroscience"
1452;20825;"Immunology Letters";journal;"01652478, 18790542";1,020;Q2;108;97;338;5772;1296;306;3,19;59,51;46,37;0;32;Netherlands;Western Europe;"Elsevier B.V.";"1979-2023";"Immunology (Q2); Immunology and Allergy (Q2)";"Immunology and Microbiology; Medicine"
1453;13816;"Cornea";journal;"15364798, 02773740";1,019;Q1;138;265;928;7436;2250;851;2,07;28,06;39,59;0;20;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1982-2023";"Ophthalmology (Q1)";"Medicine"
1454;19700175204;"European Geriatric Medicine";journal;"18787657, 18787649";1,019;Q2;37;158;435;5514;1471;373;3,23;34,90;54,16;0;40;France;Western Europe;"Elsevier Masson s.r.l.";"2010-2023";"Gerontology (Q1); Geriatrics and Gerontology (Q2)";"Medicine; Nursing"
1455;26160;"Journal of Diabetes and its Complications";journal;"10568727, 1873460X";1,018;Q1;98;153;525;6063;1602;495;2,92;39,63;43,29;0;141;United States;Northern America;"Elsevier Inc.";"1992-2023";"Internal Medicine (Q1); Endocrinology (Q2); Endocrinology, Diabetes and Metabolism (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine"
1456;21100324364;"Schizophrenia Research: Cognition";journal;"22150013";1,018;Q2;28;22;119;1024;350;117;2,60;46,55;45,27;0;1;United States;Northern America;"Elsevier Inc.";"2014-2023";"Cognitive Neuroscience (Q2); Psychiatry and Mental Health (Q2)";"Medicine; Neuroscience"
1457;29605;"Journal of Experimental Biology";journal;"14779145, 00220949";1,017;Q1;211;497;1776;25948;3655;1341;1,98;52,21;39,63;1;51;United Kingdom;Western Europe;"Company of Biologists Ltd";"1945-1951, 1962-2023";"Animal Science and Zoology (Q1); Aquatic Science (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Insect Science (Q1); Medicine (miscellaneous) (Q1); Physiology (Q1); Molecular Biology (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine"
1458;21100870853;"npj Microgravity";journal;"23738065";1,017;Q1;35;92;147;5579;705;144;4,38;60,64;35,94;0;8;United Kingdom;Western Europe;"Nature Publishing Group";"2015-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1); Space and Planetary Science (Q2)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Earth and Planetary Sciences; Materials Science; Medicine; Physics and Astronomy"
